id,name,category,type,calories,protein,carbs,fat,fiber,price,image,swiggyUrl,zomatoUrl,description,benefits,health_score
tandoori-chicken---family-recipe-8a5741,Tandoori Chicken - Family Recipe,dinner,non-veg,331,58,19,41,18,1080,https://images.unsplash.com/photo-1715078648?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Tandoori+Chicken+-+Family+Recipe,https://www.zomato.com/search?q=Tandoori+Chicken+-+Family+Recipe,"Tandoori Chicken - Family Recipe — delicious non-veg dish, popular in its region.",High protein|High fiber,4
dal-tadka---signature-108-c43aee,Dal Tadka - Signature 108,dinner,veg,162,55,121,6,8,777,https://images.unsplash.com/photo-1805382747?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Dal+Tadka+-+Signature+108,https://www.zomato.com/search?q=Dal+Tadka+-+Signature+108,"Dal Tadka - Signature 108 — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,4
matar-pulao---signature-939-c6f33c,Matar Pulao - Signature 939,lunch,veg,161,55,21,30,0,1025,https://images.unsplash.com/photo-1045692453?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Matar+Pulao+-+Signature+939,https://www.zomato.com/search?q=Matar+Pulao+-+Signature+939,"Matar Pulao - Signature 939 — delicious veg dish, popular in its region.",Low calorie|High protein,4
masala-milk---family-recipe-731-b7b883,Masala Milk - Family Recipe 731,dinner,veg,81,53,37,4,3,527,https://images.unsplash.com/photo-1023538827?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Masala+Milk+-+Family+Recipe+731,https://www.zomato.com/search?q=Masala+Milk+-+Family+Recipe+731,"Masala Milk - Family Recipe 731 — delicious veg dish, popular in its region.",Low calorie|High protein|Low fat,4
chole-kulche---restaurant-854-98b11d,Chole Kulche - Restaurant 854,lunch,veg,881,53,23,9,2,563,https://images.unsplash.com/photo-1510098298?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Chole+Kulche+-+Restaurant+854,https://www.zomato.com/search?q=Chole+Kulche+-+Restaurant+854,"Chole Kulche - Restaurant 854 — delicious veg dish, popular in its region.",High protein|Low fat,4
bbq-ribs---restaurant-220-668592,BBQ Ribs - Restaurant 220,lunch,veg,325,52,30,57,1,942,https://images.unsplash.com/photo-1627218201?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=BBQ+Ribs+-+Restaurant+220,https://www.zomato.com/search?q=BBQ+Ribs+-+Restaurant+220,"BBQ Ribs - Restaurant 220 — delicious veg dish, popular in its region.",High protein,4
keema-curry---signature-737-8cb738,Keema Curry - Signature 737,lunch,veg,237,51,4,38,10,288,https://images.unsplash.com/photo-1172546911?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Keema+Curry+-+Signature+737,https://www.zomato.com/search?q=Keema+Curry+-+Signature+737,"Keema Curry - Signature 737 — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
ragi-mudde---signature-fb50e7,Ragi Mudde - Signature,breakfast,veg,237,50,18,19,11,533,https://images.unsplash.com/photo-1313207349?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Ragi+Mudde+-+Signature,https://www.zomato.com/search?q=Ragi+Mudde+-+Signature,"Ragi Mudde - Signature — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
aloo-paratha---signature-1f97df,Aloo Paratha - Signature,breakfast,veg,346,49,89,10,17,92,https://images.unsplash.com/photo-1567586818?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Aloo+Paratha+-+Signature,https://www.zomato.com/search?q=Aloo+Paratha+-+Signature,"Aloo Paratha - Signature — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
masala-dosa---classic-900912,Masala Dosa - Classic,breakfast,veg,564,49,3,1,15,1143,https://images.unsplash.com/photo-1621483275?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Masala+Dosa+-+Classic,https://www.zomato.com/search?q=Masala+Dosa+-+Classic,"Masala Dosa - Classic — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
fish-curry---signature-b9bf48,Fish Curry - Signature,lunch,non-veg,256,49,45,9,8,305,https://images.unsplash.com/photo-1026858989?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Fish+Curry+-+Signature,https://www.zomato.com/search?q=Fish+Curry+-+Signature,"Fish Curry - Signature — delicious non-veg dish, popular in its region.",High protein|High fiber|Low fat,4
dahi-puri---home-style-438-8c02ad,Dahi Puri - Home Style 438,lunch,veg,241,48,128,9,20,901,https://images.unsplash.com/photo-1961408951?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Dahi+Puri+-+Home+Style+438,https://www.zomato.com/search?q=Dahi+Puri+-+Home+Style+438,"Dahi Puri - Home Style 438 — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,4
butter-chicken---restaurant-15a45e,Butter Chicken - Restaurant,dinner,non-veg,145,48,22,42,13,455,https://images.unsplash.com/photo-1816344189?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Butter+Chicken+-+Restaurant,https://www.zomato.com/search?q=Butter+Chicken+-+Restaurant,"Butter Chicken - Restaurant — delicious non-veg dish, popular in its region.",Low calorie|High protein|High fiber,4
hyderabadi-biryani---street-style-0b2d94,Hyderabadi Biryani - Street Style,lunch,non-veg,438,48,22,4,13,762,https://images.unsplash.com/photo-1032208559?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Hyderabadi+Biryani+-+Street+Style,https://www.zomato.com/search?q=Hyderabadi+Biryani+-+Street+Style,"Hyderabadi Biryani - Street Style — delicious non-veg dish, popular in its region.",High protein|High fiber|Low fat,4
chicken-nuggets---chef-special-ae93a7,Chicken Nuggets - Chef Special,dinner,non-veg,371,48,15,4,4,632,https://images.unsplash.com/photo-1489704089?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Chicken+Nuggets+-+Chef+Special,https://www.zomato.com/search?q=Chicken+Nuggets+-+Chef+Special,"Chicken Nuggets - Chef Special — delicious non-veg dish, popular in its region.",High protein|Low fat,4
baingan-bharta---classic-ca1124,Baingan Bharta - Classic,lunch,veg,108,47,30,33,19,336,https://images.unsplash.com/photo-1861616855?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Baingan+Bharta+-+Classic,https://www.zomato.com/search?q=Baingan+Bharta+-+Classic,"Baingan Bharta - Classic — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
thalassery-biryani---classic-267-6ede42,Thalassery Biryani - Classic 267,lunch,non-veg,215,47,20,13,8,1126,https://images.unsplash.com/photo-1800178661?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Thalassery+Biryani+-+Classic+267,https://www.zomato.com/search?q=Thalassery+Biryani+-+Classic+267,"Thalassery Biryani - Classic 267 — delicious non-veg dish, popular in its region.",Low calorie|High protein|High fiber,4
aloo-paratha---street-style-9d592e,Aloo Paratha - Street Style,breakfast,veg,127,47,18,58,5,574,https://images.unsplash.com/photo-1116310972?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Aloo+Paratha+-+Street+Style,https://www.zomato.com/search?q=Aloo+Paratha+-+Street+Style,"Aloo Paratha - Street Style — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
malabar-biryani---restaurant-1154-fcf6ca,Malabar Biryani - Restaurant 1154,lunch,non-veg,244,47,87,8,5,675,https://images.unsplash.com/photo-1921362510?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Malabar+Biryani+-+Restaurant+1154,https://www.zomato.com/search?q=Malabar+Biryani+-+Restaurant+1154,"Malabar Biryani - Restaurant 1154 — delicious non-veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,4
veg-burrito---family-recipe-85278d,Veg Burrito - Family Recipe,snack,veg,194,47,69,7,4,948,https://images.unsplash.com/photo-1828801555?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Veg+Burrito+-+Family+Recipe,https://www.zomato.com/search?q=Veg+Burrito+-+Family+Recipe,"Veg Burrito - Family Recipe — delicious veg dish, popular in its region.",Low calorie|High protein|Low fat,4
masala-idli---restaurant-0a402a,Masala Idli - Restaurant,breakfast,veg,574,46,30,4,13,909,https://images.unsplash.com/photo-1151277389?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Masala+Idli+-+Restaurant,https://www.zomato.com/search?q=Masala+Idli+-+Restaurant,"Masala Idli - Restaurant — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
bihu-pitha---restaurant-1159-25c70a,Bihu Pitha - Restaurant 1159,lunch,veg,208,46,66,0,12,883,https://images.unsplash.com/photo-1899469332?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Bihu+Pitha+-+Restaurant+1159,https://www.zomato.com/search?q=Bihu+Pitha+-+Restaurant+1159,"Bihu Pitha - Restaurant 1159 — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,4
sev-puri---signature-c44694,Sev Puri - Signature,lunch,veg,140,46,108,3,7,160,https://images.unsplash.com/photo-1617274304?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Sev+Puri+-+Signature,https://www.zomato.com/search?q=Sev+Puri+-+Signature,"Sev Puri - Signature — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,4
granola-bowl---signature-3b6d79,Granola Bowl - Signature,breakfast,veg,145,46,102,6,2,1161,https://images.unsplash.com/photo-1087275311?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Granola+Bowl+-+Signature,https://www.zomato.com/search?q=Granola+Bowl+-+Signature,"Granola Bowl - Signature — delicious veg dish, popular in its region.",Low calorie|High protein|Low fat,4
poha---home-style-1299-226df1,Poha - Home Style 1299,breakfast,veg,122,45,22,47,20,506,https://images.unsplash.com/photo-1814788995?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Poha+-+Home+Style+1299,https://www.zomato.com/search?q=Poha+-+Home+Style+1299,"Poha - Home Style 1299 — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
pizza-margherita---classic-7d08a6,Pizza Margherita - Classic,lunch,veg,139,45,131,3,20,602,https://images.unsplash.com/photo-1570068822?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Pizza+Margherita+-+Classic,https://www.zomato.com/search?q=Pizza+Margherita+-+Classic,"Pizza Margherita - Classic — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,4
hyderabadi-biryani---classic-1215-55950d,Hyderabadi Biryani - Classic 1215,lunch,non-veg,476,45,0,6,20,825,https://images.unsplash.com/photo-1257729831?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Hyderabadi+Biryani+-+Classic+1215,https://www.zomato.com/search?q=Hyderabadi+Biryani+-+Classic+1215,"Hyderabadi Biryani - Classic 1215 — delicious non-veg dish, popular in its region.",High protein|High fiber|Low fat,4
paratha---street-style-41de6a,Paratha - Street Style,breakfast,veg,289,45,21,22,13,188,https://images.unsplash.com/photo-1357208555?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Paratha+-+Street+Style,https://www.zomato.com/search?q=Paratha+-+Street+Style,"Paratha - Street Style — delicious veg dish, popular in its region.",High protein|High fiber,4
malai-kofta---street-style-197c04,Malai Kofta - Street Style,lunch,veg,818,45,21,7,8,87,https://images.unsplash.com/photo-1065051180?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Malai+Kofta+-+Street+Style,https://www.zomato.com/search?q=Malai+Kofta+-+Street+Style,"Malai Kofta - Street Style — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
kadai-paneer---family-recipe-3da5ed,Kadai Paneer - Family Recipe,dinner,veg,309,44,3,29,13,788,https://images.unsplash.com/photo-1912706573?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Kadai+Paneer+-+Family+Recipe,https://www.zomato.com/search?q=Kadai+Paneer+-+Family+Recipe,"Kadai Paneer - Family Recipe — delicious veg dish, popular in its region.",High protein|High fiber,4
puttu---chef-special-db89bc,Puttu - Chef Special,lunch,veg,137,44,52,8,2,370,https://images.unsplash.com/photo-1446026729?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Puttu+-+Chef+Special,https://www.zomato.com/search?q=Puttu+-+Chef+Special,"Puttu - Chef Special — delicious veg dish, popular in its region.",Low calorie|High protein|Low fat,4
korma---family-recipe-f3b6c3,Korma - Family Recipe,dinner,veg,209,43,26,36,4,502,https://images.unsplash.com/photo-1575681764?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Korma+-+Family+Recipe,https://www.zomato.com/search?q=Korma+-+Family+Recipe,"Korma - Family Recipe — delicious veg dish, popular in its region.",Low calorie|High protein,4
shakshuka---restaurant-d3f301,Shakshuka - Restaurant,dinner,veg,88,43,133,2,2,949,https://images.unsplash.com/photo-1353132272?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Shakshuka+-+Restaurant,https://www.zomato.com/search?q=Shakshuka+-+Restaurant,"Shakshuka - Restaurant — delicious veg dish, popular in its region.",Low calorie|High protein|Low fat,4
navratan-korma---chef-special-0474c4,Navratan Korma - Chef Special,dinner,veg,164,42,113,7,14,164,https://images.unsplash.com/photo-1725885786?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Navratan+Korma+-+Chef+Special,https://www.zomato.com/search?q=Navratan+Korma+-+Chef+Special,"Navratan Korma - Chef Special — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,4
caesar-salad---signature-655-667cb3,Caesar Salad - Signature 655,lunch,veg,296,42,22,28,14,725,https://images.unsplash.com/photo-1158365779?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Caesar+Salad+-+Signature+655,https://www.zomato.com/search?q=Caesar+Salad+-+Signature+655,"Caesar Salad - Signature 655 — delicious veg dish, popular in its region.",High protein|High fiber,4
lucknowi-biryani---street-style-c1a305,Lucknowi Biryani - Street Style,lunch,non-veg,240,42,6,13,12,538,https://images.unsplash.com/photo-1236711611?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Lucknowi+Biryani+-+Street+Style,https://www.zomato.com/search?q=Lucknowi+Biryani+-+Street+Style,"Lucknowi Biryani - Street Style — delicious non-veg dish, popular in its region.",Low calorie|High protein|High fiber,4
mutton-curry---street-style-8faa5d,Mutton Curry - Street Style,lunch,non-veg,609,42,30,8,2,528,https://images.unsplash.com/photo-1074675806?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Mutton+Curry+-+Street+Style,https://www.zomato.com/search?q=Mutton+Curry+-+Street+Style,"Mutton Curry - Street Style — delicious non-veg dish, popular in its region.",High protein|Low fat,4
grilled-cheese-sandwich---street-style-268c5a,Grilled Cheese Sandwich - Street Style,dinner,veg,212,41,80,6,20,612,https://images.unsplash.com/photo-1856489370?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Grilled+Cheese+Sandwich+-+Street+Style,https://www.zomato.com/search?q=Grilled+Cheese+Sandwich+-+Street+Style,"Grilled Cheese Sandwich - Street Style — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,4
chicken-tikka---family-recipe-9c42f7,Chicken Tikka - Family Recipe,dinner,non-veg,296,41,55,1,0,1087,https://images.unsplash.com/photo-1373158754?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Chicken+Tikka+-+Family+Recipe,https://www.zomato.com/search?q=Chicken+Tikka+-+Family+Recipe,"Chicken Tikka - Family Recipe — delicious non-veg dish, popular in its region.",High protein|Low fat,4
ramen---classic-c931e6,Ramen - Classic,lunch,veg,90,40,18,19,15,287,https://images.unsplash.com/photo-1275939165?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Ramen+-+Classic,https://www.zomato.com/search?q=Ramen+-+Classic,"Ramen - Classic — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
chicken-shawarma---classic-13f987,Chicken Shawarma - Classic,lunch,non-veg,648,40,9,3,10,826,https://images.unsplash.com/photo-1160292088?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Chicken+Shawarma+-+Classic,https://www.zomato.com/search?q=Chicken+Shawarma+-+Classic,"Chicken Shawarma - Classic — delicious non-veg dish, popular in its region.",High protein|High fiber|Low fat,4
prawn-curry---signature-e99562,Prawn Curry - Signature,lunch,non-veg,305,40,8,57,8,1113,https://images.unsplash.com/photo-1489734670?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Prawn+Curry+-+Signature,https://www.zomato.com/search?q=Prawn+Curry+-+Signature,"Prawn Curry - Signature — delicious non-veg dish, popular in its region.",High protein|High fiber,4
greek-salad---classic-ceea02,Greek Salad - Classic,snack,veg,82,39,28,23,1,383,https://images.unsplash.com/photo-1570016952?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Greek+Salad+-+Classic,https://www.zomato.com/search?q=Greek+Salad+-+Classic,"Greek Salad - Classic — delicious veg dish, popular in its region.",Low calorie|High protein,4
puran-poli---restaurant-5806df,Puran Poli - Restaurant,breakfast,veg,293,38,37,0,16,858,https://images.unsplash.com/photo-1797921797?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Puran+Poli+-+Restaurant,https://www.zomato.com/search?q=Puran+Poli+-+Restaurant,"Puran Poli - Restaurant — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
hyderabadi-biryani---home-style-d5d920,Hyderabadi Biryani - Home Style,lunch,non-veg,238,38,15,23,7,385,https://images.unsplash.com/photo-1483541694?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Hyderabadi+Biryani+-+Home+Style,https://www.zomato.com/search?q=Hyderabadi+Biryani+-+Home+Style,"Hyderabadi Biryani - Home Style — delicious non-veg dish, popular in its region.",Low calorie|High protein|High fiber,4
malai-kofta---signature-2fff05,Malai Kofta - Signature,snack,veg,200,37,12,39,8,593,https://images.unsplash.com/photo-1613329300?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Malai+Kofta+-+Signature,https://www.zomato.com/search?q=Malai+Kofta+-+Signature,"Malai Kofta - Signature — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
navratan-korma---street-style-91b474,Navratan Korma - Street Style,breakfast,veg,269,36,64,7,9,769,https://images.unsplash.com/photo-1882738459?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Navratan+Korma+-+Street+Style,https://www.zomato.com/search?q=Navratan+Korma+-+Street+Style,"Navratan Korma - Street Style — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
paneer-bhurji---home-style-cb8296,Paneer Bhurji - Home Style,snack,veg,250,36,38,4,8,379,https://images.unsplash.com/photo-1177093998?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Paneer+Bhurji+-+Home+Style,https://www.zomato.com/search?q=Paneer+Bhurji+-+Home+Style,"Paneer Bhurji - Home Style — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
pazham-pori---home-style-45fc9d,Pazham Pori - Home Style,breakfast,veg,646,36,7,3,7,834,https://images.unsplash.com/photo-1837089835?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Pazham+Pori+-+Home+Style,https://www.zomato.com/search?q=Pazham+Pori+-+Home+Style,"Pazham Pori - Home Style — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
idli---chef-special-686141,Idli - Chef Special,breakfast,veg,112,35,15,44,19,1198,https://images.unsplash.com/photo-1282952466?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Idli+-+Chef+Special,https://www.zomato.com/search?q=Idli+-+Chef+Special,"Idli - Chef Special — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
lassi-salted---chef-special-916fe9,Lassi Salted - Chef Special,snack,veg,859,34,24,6,12,393,https://images.unsplash.com/photo-1383840822?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Lassi+Salted+-+Chef+Special,https://www.zomato.com/search?q=Lassi+Salted+-+Chef+Special,"Lassi Salted - Chef Special — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
dal-makhani---restaurant-c2f751,Dal Makhani - Restaurant,dinner,veg,788,34,11,3,10,1003,https://images.unsplash.com/photo-1614884533?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Dal+Makhani+-+Restaurant,https://www.zomato.com/search?q=Dal+Makhani+-+Restaurant,"Dal Makhani - Restaurant — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
malpua---street-style-360ea0,Malpua - Street Style,breakfast,veg,157,33,4,35,19,252,https://images.unsplash.com/photo-1324703313?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Malpua+-+Street+Style,https://www.zomato.com/search?q=Malpua+-+Street+Style,"Malpua - Street Style — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
peda---family-recipe-432-a87745,Peda - Family Recipe 432,snack,veg,102,33,10,45,16,966,https://images.unsplash.com/photo-1734338768?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Peda+-+Family+Recipe+432,https://www.zomato.com/search?q=Peda+-+Family+Recipe+432,"Peda - Family Recipe 432 — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
pho---family-recipe-192add,Pho - Family Recipe,lunch,veg,194,33,11,60,7,112,https://images.unsplash.com/photo-1589506890?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Pho+-+Family+Recipe,https://www.zomato.com/search?q=Pho+-+Family+Recipe,"Pho - Family Recipe — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber,4
set-dosa---classic-1b8b8d,Set Dosa - Classic,breakfast,veg,345,33,25,59,3,789,https://images.unsplash.com/photo-1016825536?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Set+Dosa+-+Classic,https://www.zomato.com/search?q=Set+Dosa+-+Classic,"Set Dosa - Classic — delicious veg dish, popular in its region.",High protein,4
rabri---signature-da2ba6,Rabri - Signature,breakfast,veg,488,32,4,1,17,852,https://images.unsplash.com/photo-1915045299?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Rabri+-+Signature,https://www.zomato.com/search?q=Rabri+-+Signature,"Rabri - Signature — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
khandvi---classic-613-4fc774,Khandvi - Classic 613,dinner,veg,215,32,50,8,10,1197,https://images.unsplash.com/photo-1077900527?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Khandvi+-+Classic+613,https://www.zomato.com/search?q=Khandvi+-+Classic+613,"Khandvi - Classic 613 — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,4
set-dosa---street-style-842-820ef4,Set Dosa - Street Style 842,breakfast,veg,343,32,102,7,9,250,https://images.unsplash.com/photo-1673034626?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Set+Dosa+-+Street+Style+842,https://www.zomato.com/search?q=Set+Dosa+-+Street+Style+842,"Set Dosa - Street Style 842 — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,4
